priority,issue_type,surface,id,category,name,current_price,price_list_price,price_list_source,recommended_action,boss_decision,notes
P1,app_price_mismatch,app,iphone-oled-16pro,Pantallas iPhone OLED,Pantalla para iPhone 16 Pro,"$1,500 MXN / $1,450 MXN","$1,300 MXN / $1,250 MXN",p1 r50: 16PRO | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,iphone-oled-16promax-hard,Pantallas iPhone OLED,Pantalla para iPhone 16 Pro Max Hard OLED,"$1,600 MXN / $1,550 MXN","$1,400 MXN / $1,350 MXN",p1 r51: 16 PROMAX | OLED PREMIUM,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,s1-ai-classic,Gafas AI,HAODE AI CLASSIC S1,"$1,500 MXN / $1,200 MXN","$1,500 MXN / $1,300 MXN",p3 r30: Gafas AI S1 | GAFAS AI,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-10,Pantallas Samsung INCELL,Pantalla para Samsung Note 10,$650 MXN / $600 MXN,$550 MXN / $530 MXN,p2 r43: NOTE 10 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-10-lite,Pantallas Samsung INCELL,Pantalla para Samsung Note 10 Lite,$750 MXN / $720 MXN,$650 MXN / $640 MXN,p2 r46: NOTE10 LITE | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-10-plus,Pantallas Samsung INCELL,Pantalla para Samsung Note 10 Plus,$650 MXN / $600 MXN,$550 MXN / $530 MXN,p2 r45: NOTE 10+ | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-20-ultra,Pantallas Samsung INCELL,Pantalla para Samsung Note 20 Ultra,$800 MXN / $780 MXN,$680 MXN / $670 MXN,p2 r49: NOTE 20 Ultra | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-8,Pantallas Samsung INCELL,Pantalla para Samsung Note 8,$600 MXN / $570 MXN,$500 MXN / $480 MXN,p2 r41: NOTE 8 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-note-9,Pantallas Samsung INCELL,Pantalla para Samsung Note 9,$600 MXN / $570 MXN,$500 MXN / $480 MXN,p2 r42: NOTE 9 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s10,Pantallas Samsung INCELL,Pantalla para Samsung S10,$500 MXN / $470 MXN,$380 MXN / $370 MXN,p2 r6: S10 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s10-plus,Pantallas Samsung INCELL,Pantalla para Samsung S10 Plus,$500 MXN / $470 MXN,$380 MXN / $370 MXN,p2 r7: S10 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s10e,Pantallas Samsung INCELL,Pantalla para Samsung S10E,$800 MXN / $780 MXN,$600 MXN / $580 MXN,p2 r8: S10E | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s20-plus,Pantallas Samsung INCELL,Pantalla para Samsung S20 Plus,$550 MXN / $520 MXN,$550 MXN / $530 MXN,p2 r12: S20 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s21-ultra,Pantallas Samsung INCELL,Pantalla para Samsung S21 Ultra,$600 MXN / $550 MXN,$550 MXN / $530 MXN,p2 r19: S21 Ultra | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s22,Pantallas Samsung INCELL,Pantalla para Samsung S22,$600 MXN / $550 MXN,$500 MXN / $480 MXN,p2 r22: S22 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s22-plus,Pantallas Samsung INCELL,Pantalla para Samsung S22 Plus,$600 MXN / $570 MXN,$500 MXN / $480 MXN,p2 r23: S22 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s22-ultra,Pantallas Samsung INCELL,Pantalla para Samsung S22 Ultra,$800 MXN / $750 MXN,$600 MXN / $580 MXN,p2 r25: S22 Ultra | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s23,Pantallas Samsung INCELL,Pantalla para Samsung S23,$650 MXN / $630 MXN,$600 MXN / $580 MXN,p2 r28: S23 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s23-plus,Pantallas Samsung INCELL,Pantalla para Samsung S23 Plus,$650 MXN / $630 MXN,$600 MXN / $580 MXN,p2 r29: S23 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s23-ultra,Pantallas Samsung INCELL,Pantalla para Samsung S23 Ultra,$700 MXN / $680 MXN,$650 MXN / $630 MXN,p2 r31: S23 Ultra | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s24,Pantallas Samsung INCELL,Pantalla para Samsung S24,"$1,000 MXN / $950 MXN",$700 MXN / $680 MXN,p2 r34: S24 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s24-plus,Pantallas Samsung INCELL,Pantalla para Samsung S24 Plus,"$1,000 MXN / $950 MXN",$700 MXN / $680 MXN,p2 r35: S24 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s24-ultra,Pantallas Samsung INCELL,Pantalla para Samsung S24 Ultra,"$1,000 MXN / $950 MXN",$750 MXN / $740 MXN,p2 r36: S24 Ultra | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s8,Pantallas Samsung INCELL,Pantalla para Samsung S8,$450 MXN / $430 MXN,$360 MXN / $350 MXN,p2 r2: S8 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s8-plus,Pantallas Samsung INCELL,Pantalla para Samsung S8 Plus,$450 MXN / $430 MXN,$370 MXN / $360 MXN,p2 r3: S8+ | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s9,Pantallas Samsung INCELL,Pantalla para Samsung S9,$450 MXN / $430 MXN,$360 MXN / $350 MXN,p2 r4: S9 | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-incell-s9-plus,Pantallas Samsung INCELL,Pantalla para Samsung S9 Plus,$500 MXN / $450 MXN,$370 MXN / $360 MXN,p2 r5: S9 PLUS | INCELL FHD C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-note-20-ultra,Pantallas Samsung Original,Pantalla para Samsung Note 20 Ultra,"$3,500 MXN / $3,400 MXN","$3,000 MXN / $2,900 MXN",p2 r51: NOTE 20 Ultra | TIPO ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-flip3,Pantallas Samsung Original,Pantalla para Samsung Z Flip3,"$3,300 MXN / $3,200 MXN","$3,000 MXN / $2,900 MXN",p2 r56: Z FLIP3 | TIPO ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-flip7,Pantallas Samsung Original,Pantalla Samsung Z Flip7,"$5,800 MXN / $5,500 MXN","$5,800 MXN / $5,600 MXN",p2 r60: Z FLIP7 | TIPO ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-fold3,Pantallas Samsung Original,Pantalla Samsung Z Fold3,"$4,500 MXN / $4,300 MXN","$4,500 MXN / $4,400 MXN",p2 r61: Z FOLD3 | ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-fold4,Pantallas Samsung Original,Pantalla Samsung Z Fold4,"$6,000 MXN / $5,800 MXN","$6,000 MXN / $5,900 MXN",p2 r62: Z FOLD4 | ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-fold5,Pantallas Samsung Original,Pantalla Samsung Z Fold5,"$7,500 MXN / $7,300 MXN","$7,500 MXN / $7,400 MXN",p2 r63: Z FOLD5 | ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,samsung-original-z-fold6,Pantallas Samsung Original,Pantalla Samsung Z Fold6,"$9,800 MXN / $9,600 MXN","$9,800 MXN / $9,700 MXN",p2 r64: Z FOLD6 | ORIGINAL C/M,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,app_price_mismatch,app,w630-ai-pro,Gafas AI,W630 AI PRO,"$1,900 MXN / $1,600 MXN","$1,900 MXN / $1,700 MXN",p3 r27: Gafas AI W630 | GAFAS AI,老板确认后同步 APP 价格,,会影响 APP 商品卡、购物车和 WhatsApp 报价
P1,pdf_row_not_in_web_or_app,pdf,,fundas,CARCASAS 11/17PRO KIT CARCASA METALICA CON FLEX,,$400 MXN / $350 MXN,p3 r12: CARCASAS 11/17PRO | KIT CARCASA METALICA CON FLEX,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,CARCASAS XR/17PRO KIT CARCASA METALICA CON FLEX,,$400 MXN / $350 MXN,p3 r11: CARCASAS XR/17PRO | KIT CARCASA METALICA CON FLEX,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,CARCASAS XS/17PRO KIT CARCASA METALICA CON FLEX,,$400 MXN / $350 MXN,p3 r13: CARCASAS XS/17PRO | KIT CARCASA METALICA CON FLEX,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,CARCASAS XSMAX/17PRO KIT CARCASA METALICA CON FLEX,,$400 MXN / $350 MXN,p3 r14: CARCASAS XSMAX/17PRO | KIT CARCASA METALICA CON FLEX,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,FUNDA 5IN1 CON MICA PREMIUM 3D FUNDA 5IN1 CON MICA PREMIUM 3D,,$100 MXN / $90 MXN,p3 r16: FUNDA 5IN1 CON MICA PREMIUM 3D | FUNDA 5IN1 CON MICA PREMIUM 3D,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,gafas-ai,Gafas AI M02 GAFAS AI,,"$1,600 MXN / $1,400 MXN",p3 r33: Gafas AI M02 | GAFAS AI,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,gafas-ai,Gafas AI M08 GAFAS AI,,"$1,700 MXN / $1,500 MXN",p3 r32: Gafas AI M08 | GAFAS AI,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,gafas-ai,Gafas AI M89 GAFAS AI,,"$1,500 MXN / $1,300 MXN",p3 r31: Gafas AI M89 | GAFAS AI,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,gafas-ai,Gafas AI M95 GAFAS AI,,"$1,600 MXN / $1,400 MXN",p3 r34: Gafas AI M95 | GAFAS AI,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,KIT ALUMINIO DE 17PROMAX SIN LOGO KIT ALUMINIO DE 17PROMAX SIN LOGO,,$65 MXN / $50 MXN,p3 r19: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,KIT ALUMINIO DE 17PROMAX SIN LOGO KIT ALUMINIO DE 17PROMAX SIN LOGO,,$65 MXN / $50 MXN,p3 r20: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,KIT ALUMINIO DE 17PROMAX SIN LOGO KIT ALUMINIO DE 17PROMAX SIN LOGO,,$65 MXN / $50 MXN,p3 r21: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,fundas,KIT ALUMINIO DE 17PROMAX SIN LOGO KIT ALUMINIO DE 17PROMAX SIN LOGO,,$65 MXN / $50 MXN,p3 r22: KIT ALUMINIO DE 17PROMAX SIN LOGO | KIT ALUMINIO DE 17PROMAX SIN LOGO,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung NOTE 20 Ultra CELULAR OFERTA 12+256,,"$3,800 MXN",p3 r62: Samsung NOTE 20 Ultra | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung NOTE10 CELULAR OFERTA 8+256,,"$2,700 MXN",p3 r60: Samsung NOTE10 | CELULAR OFERTA 8+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung NOTE10 PLUS CELULAR OFERTA 12+256,,"$3,500 MXN",p3 r61: Samsung NOTE10 PLUS | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung NOTE8 CELULAR OFERTA 4+64,,"$2,000 MXN",p3 r58: Samsung NOTE8 | CELULAR OFERTA 4+64,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung NOTE9 CELULAR OFERTA 8+128,,"$2,500 MXN",p3 r59: Samsung NOTE9 | CELULAR OFERTA 8+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S10 CELULAR OFERTA 8+128,,"$2,500 MXN",p3 r47: Samsung S10 | CELULAR OFERTA 8+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S10 PLUS CELULAR OFERTA 8+128,,"$2,700 MXN",p3 r48: Samsung S10 PLUS | CELULAR OFERTA 8+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S10E CELULAR OFERTA 8+128,,"$2,800 MXN",p3 r49: Samsung S10E | CELULAR OFERTA 8+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S20 5G CELULAR OFERTA 12+256,,"$3,000 MXN",p3 r50: Samsung S20 5G | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S20 PLUS CELULAR OFERTA 12+256,,"$3,300 MXN",p3 r51: Samsung S20 PLUS | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S20 Ultra CELULAR OFERTA 12+256,,"$3,500 MXN",p3 r53: Samsung S20 Ultra | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S20FE CELULAR OFERTA 6+128,,"$2,700 MXN",p3 r52: Samsung S20FE | CELULAR OFERTA 6+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S21 CELULAR OFERTA 12+256,,"$3,000 MXN",p3 r54: Samsung S21 | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S21 Ultra CELULAR OFERTA 12+256,,"$3,800 MXN",p3 r55: Samsung S21 Ultra | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S22 Ultra CELULAR OFERTA 12+256,,"$4,000 MXN",p3 r56: Samsung S22 Ultra | CELULAR OFERTA 12+256,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung S9 CELULAR OFERTA 6+64,,"$2,000 MXN",p3 r45: Samsung S9 | CELULAR OFERTA 6+64,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,Samsung Z FIP3 PRO ，Doble Pantalla CELULAR OFERTA 8+128,,"$4,000 MXN",p3 r57: Samsung Z FIP3 PRO ，Doble Pantalla | CELULAR OFERTA 8+128,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,pdf_row_not_in_web_or_app,pdf,,celulares-oferta,SamsungS9 PLUS CELULAR OFERTA 6+64,,"$2,300 MXN",p3 r46: SamsungS9 PLUS | CELULAR OFERTA 6+64,确认是否需要上架/同步；缺图缺资料时不自动上架,,价格表存在，但官网/APP 没有确认匹配项
P1,web_app_price_mismatch,web/app,iphone-incell-12promax,iphone-incell,Pantalla para iPhone 12 Pro Max,web $220 MXN / $210 MXN / app $250 MXN / $240 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,iphone-incell-14,iphone-incell,Pantalla para iPhone 14,web $800 MXN / $750 MXN / app $260 MXN / $250 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,iphone-incell-14plus,iphone-incell,Pantalla para iPhone 14 Plus,web $800 MXN / $750 MXN / app $300 MXN / $290 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,iphone-incell-15plus,iphone-incell,Pantalla para iPhone 15 Plus,web $300 MXN / $290 MXN / app $330 MXN / $310 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,iphone-oled-13promax,iphone-oled,Pantalla para iPhone 13 Pro Max,web $600 MXN / $590 MXN / app $900 MXN / $850 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,samsung-incell-s20-plus,samsung-incell,Pantalla para Samsung S20 Plus,web $500 MXN / $480 MXN / app $550 MXN / $520 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_app_price_mismatch,web/app,samsung-incell-s9-plus,samsung-incell,Pantalla para Samsung S9 Plus,web $450 MXN / $430 MXN / app $500 MXN / $450 MXN,,,先统一官网和 APP，再考虑发布,,同一 SKU 两边价格不同
P1,web_price_mismatch,web,aimb-g5-ai-sports,gafas-ai,AIMB-G5 AI SPORTS,"$1,800 MXN / $1,400 MXN","$1,800 MXN / $1,600 MXN",p3 r26: Gafas AI G5 | GAFAS AI,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,funda-premium-17-pro-max,fundas,Funda Premium Aluminio,$85 MXN / $75 MXN,$85 MXN / $70 MXN,p3 r18: KIT ALUMINIO DE 17PROMAX CON LOGO | KIT ALUMINIO DE 17PROMAX CON LOGO,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,funda-premium-aluminio-plus,fundas,Funda Premium Aluminio Plus,$85 MXN / $75 MXN,$85 MXN / $70 MXN,p3 r17: 13PRO/14PRO/15PRO/1 6PRO | KIT ALUMINIO DE 17PRO CON LOGO,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,haode-ai-g3-smart-glasses,gafas-ai,Gafas Inteligentes AI G3,"$1,700 MXN / $1,300 MXN","$1,700 MXN / $1,500 MXN",p3 r29: Gafas AI G3 | GAFAS AI,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
P1,web_price_mismatch,web,haode-ai-w610-smart-glasses,gafas-ai,Gafas Inteligentes AI W610,"$1,800 MXN / $1,500 MXN","$1,500 MXN / $1,200 MXN",p3 r28: Gafas AI W610 | GAFAS AI,老板确认后同步官网产品价格,,会影响静态详情页、JSON-LD price、搜索结构化数据
